2023.01.22 15:31:22 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS'': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3205 'Add PROJECTS table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3205 'Add PROJECTS table': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 projects processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table': success | time=17ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table': success | time=52ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table': success | time=5ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings'': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects': success | time=15ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties'': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties''...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties'': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties'': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles'': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles''...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles'': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles'': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles'': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles''...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles'': success | time=13ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles'': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components'': success | time=30ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table': success | time=17ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications': success | time=9ms
